"","ActivityLabel","SubjectId","ActivityName","Feature","mean"
"1",1,1,"WALKING","fBodyAcc-mean()-X",-0.202794306326316
"2",1,1,"WALKING","fBodyAcc-mean()-Y",0.0897127264021053
"3",1,1,"WALKING","fBodyAcc-mean()-Z",-0.331560117789474
"4",1,1,"WALKING","fBodyAcc-std()-X",-0.319134719578947
"5",1,1,"WALKING","fBodyAcc-std()-Y",0.056040006846
"6",1,1,"WALKING","fBodyAcc-std()-Z",-0.279686751494737
"7",1,1,"WALKING","fBodyAccJerk-mean()-X",-0.170546964549579
"8",1,1,"WALKING","fBodyAccJerk-mean()-Y",-0.0352255241130632
"9",1,1,"WALKING","fBodyAccJerk-mean()-Z",-0.468999224631579
"10",1,1,"WALKING","fBodyAccJerk-std()-X",-0.133586606326316
"11",1,1,"WALKING","fBodyAccJerk-std()-Y",0.106739857136
"12",1,1,"WALKING","fBodyAccJerk-std()-Z",-0.534713440421053
"13",1,1,"WALKING","fBodyAccMag-mean()",-0.128623450629474
"14",1,1,"WALKING","fBodyAccMag-std()",-0.398032586842105
"15",1,1,"WALKING","fBodyBodyAccJerkMag-mean()",-0.0571194000343158
"16",1,1,"WALKING","fBodyBodyAccJerkMag-std()",-0.103492403002105
"17",1,1,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.319308593778947
"18",1,1,"WALKING","fBodyBodyGyroJerkMag-std()",-0.381601911789474
"19",1,1,"WALKING","fBodyBodyGyroMag-mean()",-0.199252568986316
"20",1,1,"WALKING","fBodyBodyGyroMag-std()",-0.321017953894737
"21",1,1,"WALKING","fBodyGyro-mean()-X",-0.339032197115789
"22",1,1,"WALKING","fBodyGyro-mean()-Y",-0.103059416434737
"23",1,1,"WALKING","fBodyGyro-mean()-Z",-0.255940940315789
"24",1,1,"WALKING","fBodyGyro-std()-X",-0.516691938736842
"25",1,1,"WALKING","fBodyGyro-std()-Y",-0.0335081597884211
"26",1,1,"WALKING","fBodyGyro-std()-Z",-0.436562227473684
"27",1,1,"WALKING","tBodyAcc-mean()-X",0.277330758736842
"28",1,1,"WALKING","tBodyAcc-mean()-Y",-0.0173838185273684
"29",1,1,"WALKING","tBodyAcc-mean()-Z",-0.111148103547368
"30",1,1,"WALKING","tBodyAcc-std()-X",-0.283740258842105
"31",1,1,"WALKING","tBodyAcc-std()-Y",0.114461336747368
"32",1,1,"WALKING","tBodyAcc-std()-Z",-0.260027902210526
